id;external_id;parent_id;title;page_title;description;meta_title;meta_description;image;image_alt;display_in_search;display_in_menu;is_filter
55588;CAT_DOMACNOST_UKLID;0;Domácnost & úklid;Domácnost & úklid;;Domácnost a úklid;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d634a84a38e.png;;;;
55589;CAT_DU_01;55588;Generální jednorázový úklid;Generální jednorázový úklid;;Generální úklid;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d63514b6029.png;;;1;
55590;CAT_DU_02;55588;Běžný jednorázový úklid;Běžný jednorázový úklid;;Běžný úklid;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ede0791e6.png;;;1;
55591;CAT_DU_03;55588;Pravidelný úklid;Pravidelný úklid;;Pravidelný úklid;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ee076bfa9.png;;;1;
55592;CAT_DU_04;55588;Mytí oken & výloh;Mytí oken & výloh;;Mytí oken & výloh;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ee155e2d6.png;;;1;
55593;CAT_DU_05;55588;Čištění koberců / čalounění;Čištění koberců / čalounění;;Čištění koberců / čalounění;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ee223943b.png;;;1;
55594;CAT_DU_06;55588;Vyklízení & odvoz odpadu;Vyklízení & odvoz odpadu;;Vyklízení & odvoz odpadu;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ee3aa98c3.png;;;1;
55595;CAT_DU_07;55588;Turnover pro Airbnb / krátkodobé ubytování;Turnover pro Airbnb / krátkodobé ubytování;;Turnover pro Airbnb / krátkodobé ubytování;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ee4a8812a.png;;;1;
55596;CAT_DU_08;55588;Domácí pomoc;Domácí pomoc;;Domácí pomoc;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_8_68d0ee643ccf2.png;;;1;
55639;;0;Řemesla a stavební práce;Řemesla a stavební práce;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7.png;;;;
55640;;55639;Elektrikář;Elektrikář;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d0460a7536a.png;;;1;
55641;;55639;Instalatér & topenář;Instalatér & topenář;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d0463574bed.png;;;1;
55642;;55639;Zedník & sádrokarton;Zedník & sádrokarton;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d0464ee3a19.png;;;1;
55643;;55639;Malíř & lakýrník;Malíř & lakýrník;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d046819c679.png;;;1;
55644;;55639;Podlahář;Podlahář;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d046ae3372e.png;;;1;
55645;;55639;Tesařství & truhlářství;Tesařství & truhlářství;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d046ec97a9b.png;;;1;
55646;;55639;Obkladač;Obkladač;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d04734c91c1.png;;;1;
55647;;55639;Zámečník & kovovýroba;Zámečník & kovovýroba;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d04759c1f7d.png;;;1;
55652;;55639;Pokrývač;Pokrývač;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d0f58da0f5c.png;;;1;
55656;;55639;Kominík;Kominík;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d1b1ebc849d.png;;;1;
55657;;55639;Plynař;Plynař;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d1b596dbf3e.png;;;1;
55658;;55639;Požární ochrana;Požární ochrana;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d1b5d8aabdc.png;;;1;
55659;;55639;Tlakové nádoby;Tlakové nádoby;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_7_68d1b5f1ee23c.png;;;1;
55663;;0;Zahrada & exteriér;Zahrada & exteriér;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_9.png;;;;
